K-65 residues
Reviews of geophysics
Reyn
Reynolds-averaged Navier–Stokes equations
Reynolds decomposition
Reynolds number
Reynolds operator
Reynolds stress
Reynolds transport theorem
Reza Mansouri
Rheology
Rheometer
Rheometry
Rheonomous
Rheopecty
Rheoscope
Rheoscopic fluid
Rho meson
Rhombohedral lattice system
Riabouchinsky solid
Riazuddin (physicist)
Riccardo Giacconi
Ricci calculus
Ricci curvature
Ricci decomposition
Richard A. Muller
Richard Arnowitt
Richard Becker (physicist)
|Richard Beeching, Baron Beeching|
Richard Bolt
Richard C. Lord
Richard C. Powell
Richard C. Tolman
Richard Christopher Carrington
Richard Clegg
Richard D. Gill
Richard D. James (scientist)
Richard D. Leapman
Richard Dalitz
Richard Davisson
Richard Dixon Oldham
Richard Duffin
Richard E. Berendzen
Richard E. Hayden
Richard E. Taylor
Richard Ellis (astronomer)
Richard Epp (physicist)
Richard Ernest Kronauer
Richard F. Post
Richard Feynman
Richard Franklin Humphreys
Richard Friend
Richard G. Compton
Richard Gans
Richard Garwin
Richard Gill (physicist)
Richard Glazebrook
Richard H. Price
Richard Hammond (physicist)
Richard J. Gambino
Richard K. Yamamoto
Richard Keith Ellis
Richard L. Abrams
Richard Liboff
Richard Lindzen
Richard M. Weiner
Richard Makinson
Richard Massey
Richard Mollier
Richard P.A.C. Newman
Richard P. Turco
Richard Schoen
Richard Scott Perkin
Richard Sears McCulloh
Richard Sillitto
Richard T. Whitcomb
Richard Threlkeld Cox
Richard W. Ziolkowski
Richard Wolfson (physicist)
Richard von Mises
Richards equation
Richardson number
Richtmyer–Meshkov instability
Ricky J Sethi
Ridge lift
Ridged mirror
Ridley–Watkins–Hilsum theory
Riemann curvature tensor
Riemann solver
Riemann tensor (general relativity)
Riemannian Penrose inequality
Riemann–Silberstein vector
Rietdijk–Putnam argument
Rietveld refinement
Riggatron
Right-hand rule
Right hand grip rule
Rigid-body kinematics
Rigid body
Rigid body dynamics
Rigid rotor
Rijke tube
Rindler coordinates
Ring-imaging Cherenkov detector
Ring current
Ring laser
Ring laser gyroscope
Ring singularity
Ring wave guide
Rip current
Ripple (electrical)
Rise over thermal
Rishon model
Ritz method
Rivista del Nuovo Cimento
Roald Sagdeev
Rob Adam
Robbert Dijkgraaf
Robert A. Woodruff
Robert Adair (physicist)
Robert Alfano
Robert Andrews Millikan
Robert Arns
Robert Aymar
Robert Ayres (scientist)
Robert B. Laughlin
Robert B. Leighton
Robert Bacher
Robert Bindschadler
Robert Blinc
Robert Boyle
Robert Brout
Robert Bruce Lindsay
Robert C. Duncan (astrophysicist)
Robert C. Dynes
Robert Coleman Richardson
Robert Corey
Robert Cornog
Robert D. Maurer
Robert D. Richtmyer
Robert Delbourgo
Robert Dunkin
Robert Döpel
Robert E. Hopkins
Robert E. Vardeman
Robert Edward Bell
Robert Emden
Robert F. Beck
Robert F. Christy
Robert Fischell
Robert G. Chambers
Robert G. Greenler
Robert G. Shulman
Robert Geroch
Robert Griffiths (physicist)
Robert H. Dicke
Robert H. Lieberman
Robert H. Williams
Robert Haynes
Robert Herman
Robert Hofstadter
Robert Hooke
Robert J. Birgeneau
Robert J. Lang
Robert J. Van de Graaff
Robert Jaffe
Robert K. Logan
Robert Karplus
Robert Kirby-Harris
Robert Kraichnan
Robert L. Byer
Robert L. Forward
Robert L. Hurt
Robert L. Park
Robert Leigh
Robert Lin
Robert Lyster Thornton
|Robert M. L. Baker, Jr.|
Robert Mallet
Robert Marshak
Robert Matthews (scientist)
Robert Mills (physicist)
Robert Morris Page
Robert Myers (physicist)
Robert Norman
Robert Noyce
Robert Ochsenfeld
Robert P. Madden
Robert Parr
Robert Pohl
Robert Pound
Robert R. Shannon
Robert R. Wilson
Robert Resnick
Robert Retherford
Robert Rosner
Robert Russell Newton
Robert S. Mulliken
Robert S. Shankland
Robert Shaw (physicist)
Robert Sproull
|Robert Strutt, 4th Baron Rayleigh|
Robert Thomas Jones (engineer)
Robert T. Siegel
Robert W. Bower
Robert W. Boyd
Robert W. Bussard
Robert W. Wood
Robert Wald
Robert Were Fox the Younger
Robert William Boyle
Robert Woodrow Wilson
Robert von Lieben
Roberto Abraham
Roberto Car
Roberto Merlin
Roberto Peccei
Roberto Salmeron
Roberval balance
Robijn Bruinsma
Robin Devenish
Robinson oscillator
Robinson–Dadson curves
Robley C. Williams
Robot kinematics
Robotic telescope
Roche limit
Rochon prism
Rock magnetism
Rocket engine nozzle
Rocket glider
Rod C. Alferness
Rod Crewther
Rod Cross
Roddam Narasimha
Roderich Moessner
Rodney Baxter
Rodney Cotterill
Rodney Jory
Rodney Marks (astrophysicist)
Rodney S. Ruoff
Rodolfo Gambini
Roe solver
Roentgen (unit)
Roentgen equivalent man
Rogallo wing
Roger Balian
Roger Cashmore
Roger Cowley
Roger Jones (physicist and entrepreneur)
Roger Penrose
Roger Temam
Rogue wave
Roland Benz
Roland Dobbs
Roland Dobrushin
Roland Hüttenrauch
Roland Omnès
Roland W. Schmitt
Rolf-Dieter Heuer
Rolf Hagedorn
Rolf Landauer
Rolf Maximilian Sievert
Rolf Michel
Rolf Widerøe
Roll center
Roll moment
Rollin film
Rolling
Rolling ball argument
Rolling cone motion
Rolling resistance
Roman Jackiw
Roman Ulrich Sexl
Roman pot
Roman ring
Ronald Collé
Ronald Drever
Ronald E. Cohen
Ronald Ernest Aitchison
Ronald F. Probstein
Ronald Fedkiw
Ronald Kantowski
Ronald McNair
Ronald N. Bracewell
Ronald Rivlin
Ronald W. Gurney
Ronald W. Yeung
Ronnie Bell
Ronold W. P. King
Room-temperature superconductor
Room acoustics
Room temperature
Root-mean-square speed
Roothaan equations
Roper resonance
Rosalind Franklin
Rosalyn Sussman Yalow
Rosatom
Rosemary Wyse
Roshko number
Ross H. McKenzie
Rossby number
Rossby wave
Rossiter–McLaughlin effect
Roswell Clifton Gibbs
Rotameter
Rotating black hole
Rotating furnace
Rotating radio transient
Rotating reference frame
Rotating spheres
Rotating tank
Rotating wave approximation
Rotation
Rotation-powered pulsar
Rotation around a fixed axis
Rotation number
Rotation operator (quantum mechanics)
Rotational Brownian motion
Rotational diffusion
Rotational energy
Rotational invariance
Rotational motion
Rotational speed
Rotational temperature
Rotational transition
Rotational–vibrational coupling
Roton
Rotordynamics
Rotor–stator interaction
Rouse model
Rouse number
Route dependence
Routhian
Rovibrational coupling
Rovibronic coupling
Rowland ring
Roy J. Glauber
Roy Kerr
Roy McWeeny
Roy Sambles
Roy Schwitters
Royal Astronomical Society
Rp-process
Ruark number
Rubber elasticity
Rubens' tube
Rubidium standard
Ruby Payne-Scott
Ruby laser
Rudder ratio
Rudolf Clausius
Rudolf Fleischmann
Rudolf Grimm
Rudolf Haag
Rudolf Kingslake
Rudolf Kohlrausch
Rudolf Kompfner
Rudolf Ladenburg
Rudolf Luneburg
Rudolf M. Tromp
Rudolf Mössbauer
Rudolf Peierls
Rudolf Podgornik
Rudolf Schulten
Rudolf Seeliger
Rudolf Tomaschek
Rudolph Koenig
Rudolph Schild
Ruggero Santilli
Rui-Ming Xu
Rumble (noise)
Runaway breakdown
|Rush D. Holt, Jr.|
Rushbrooke inequality
Russell Alan Hulse
Russell Stannard
Russell Targ
Russell–Einstein Manifesto
Rustle noise
Rutherford backscattering spectrometry
Rutherford cable
Rutherford model
Rutherford scattering
Rydberg atom
Rydberg constant
Rydberg formula
Rydberg matter
Rydberg molecule
Rydberg state
Rydberg–Klein–Rees method
Rydberg–Ritz combination principle
Ryogo Kubo
Rytov number
Rényi entropy
Rømer's determination of the speed of light
Q-Spoil
Q-ball
Q-switching
QCD matter
QCD string
QCD sum rules
QCD vacuum
QED: The Strange Theory of Light and Matter
QED vacuum
QMAP
QMC@Home
QMR effect
QSO J0005-0006
QSO J0303-0019
QSO J0842+1835
Q band
Q factor
Q star
Q value (nuclear science)
Qian Sanqiang
Qiwam al-Din Muhammad al-Hasani
Quadratic configuration interaction
Quadrupole
Quadrupole ion trap
Quadrupole magnet
Quadrupole mass analyzer
Quaestiones quaedam philosophicae
Quake-Catcher Network
QuakeFinder
QuakeSat
Quality Assurance Review Center
Quan-Sheng Shu
Quantization (physics)
Quantization error
Quantization of the electromagnetic field
Quantum
Quantum-confined Stark effect
Quantum-mechanical explanation of intermolecular interactions
Quantum (book)
Quantum 1/f noise
Quantum Aspects of Life
Quantum Bayesianism
Quantum Darwinism
Quantum Electronics (journal)
Quantum Hall effect
Quantum KZ equations
Quantum LC circuit
Quantum Monte Carlo
Quantum Philosophy
Quantum Tunnelling Composite
Quantum Zeno effect
Quantum acoustics
Quantum algorithm
Quantum beats
Quantum biology
Quantum bus
Quantum capacitance
Quantum cascade laser
Quantum channel
Quantum chaos
Quantum chromodynamics
Quantum cloning
Quantum coherence
Quantum cohomology
Quantum computer
Quantum concentration
Quantum correlation
Quantum cosmology
Quantum critical point
Quantum decoherence
Quantum defect
Quantum degeneracy
Quantum dimer models
Quantum dissipation
Quantum dot
Quantum dot cellular automaton
Quantum dot laser
Quantum efficiency
Quantum efficiency of a solar cell
Quantum electrodynamics
Quantum electromagnetic resonator
Quantum electronics
Quantum electronics (journal)
Quantum energy teleportation
Quantum entanglement
Quantum eraser experiment
Quantum field theory
Quantum field theory in curved spacetime
Quantum flavordynamics
Quantum fluctuation
Quantum fluid
Quantum flux parametron
Quantum foam
Quantum gauge theory
Quantum geometry
Quantum gravity
Quantum gravity epoch
Quantum gyroscope
Quantum harmonic oscillator
Quantum heterostructure
Quantum history
Quantum hydrodynamics
Quantum hypothesis
Quantum indeterminacy
Quantum information
Quantum inverse scattering method
Quantum key distribution
Quantum key distribution network
Quantum level
Quantum limit
Quantum logic
Quantum machine
Quantum magnetism
Quantum mechanical Bell test prediction
Quantum mechanics
Quantum mechanics of time travel
Quantum metamaterials
Quantum metrology
Quantum mirage
Quantum mutual information
Quantum noise
Quantum non-equilibrium
Quantum nondemolition measurement
Quantum nonlocality
Quantum number
Quantum operation
Quantum optics
Quantum oscillations (experimental technique)
Quantum paraelectricity
Quantum phase transition
Quantum phases
Quantum point contact
Quantum probability
Quantum processing unit
Quantum pseudo-telepathy
Quantum realm
Quantum register
Quantum relative entropy
Quantum rotor model
Quantum size effects
Quantum solid
Quantum solvent
Quantum spin model
Quantum state
Quantum statistical mechanics
Quantum suicide and immortality
Quantum superposition
Quantum technology
Quantum teleportation
Quantum thermodynamics
Quantum tomography
Quantum triviality
Quantum tunnelling
Quantum tunnelling composite
Quantum turbulence
Quantum vortex
Quantum walk
Quantum well
Quantum well infrared photodetector
Quantum well laser
Quantum wire
Quantum yield
Quark
Quark-nova
Quark (disambiguation)
Quark epoch
Quark model
Quark number
Quark star
Quarkonium
Quark–gluon plasma
Quark–lepton complementarity
Quarterly Journal of the RAS
Quarterly Journal of the Royal Astronomical Society
Quartic interaction
Quartz crystal microbalance
Quasar
Quasi-invariant measure
Quasi-periodic oscillation
Quasi-phase-matching
Quasi-satellite
Quasi-solid
Quasi-star
Quasi-steady state cosmology
Quasi Fermi level
Quasiatom
Quasicrystal
Quasinormal mode
Quasiparticle
Quasiperiodic motion
Quasiprobability distribution
Quasistability
Quasistatic approximation
Quasistatic equilibrium
Quasistatic loading
Quasistatic process
Qubit
Qubit field theory
Quenched approximation
Quenching (fluorescence)
Quintessence (physics)
Quirino Majorana
Quiver diagram
P-adic quantum mechanics
P-factor
P-form electrodynamics
P-nuclei
P-process
P-type semiconductor
P-wave
P-wave modulus
P. Buford Price
P3M
PACER (fusion)
PANDA experiment
PAR thrust
PEPS effect
PETRA
PGM-19 Jupiter
PHENIX
PHOBOS experiment
PHOSFOS
PICASSO
PIND
PITZ
PLATYPUS
PLUTO reactor
PM3 (chemistry)
POLYGON experiment
POVM
PQS (chemical)
PS210 experiment
PSR B1828-10
PSR B1913+16
PSR J0737-3039
PSR J1614–2230
PUREX
PVLAS
PVT (physics)
PWscf
PYTHIA
Padma Kant Shukla
Padre Bancalari
Painlevé paradox
Pair-instability supernova
Pair annihilation
Pair distribution function
Pair potential
Pair production
Pake doublet
Pakistan Institute of Nuclear Science and Technology
Pakistan Physics Society
Panayotis Varotsos
Pandemonium effect
Panemone windmill
Panofsky Prize
Pantur Silaban
Paola Zizzi
Paolo Casati
Papaloizou–Pringle instability
Papapetrou–Dixon equations
Papkovich–Neuber solution
Parabolic trajectory
Parabolic trough
Parachor
Paracrystalline
Paraelectricity
Parafoil
Paraformer
Parallax barrier
Parallel Worlds (book)
Parallel axis theorem
Parallelogram of force
Paramagnetism
Parameterized post-Newtonian formalism
Parametric array
Parametric oscillator
Parametric resonance
Parasitic drag
Parastatistics
Parawing
Paraxial approximation
Parfocal lens
Parhelic circle
Paris' law
Pariser–Parr–Pople method
Parity (physics)
Parity anomaly
Parker Variable Wing
Parker spiral
Parney Albright
Parry arc
Parry–Daniels map
Parson magneton
Partial pressure
Partial wave analysis
Particle
Particle-in-cell
Particle-induced X-ray emission
Particle-size analysis
Particle-size distribution
Particle (disambiguation)
Particle Data Group
Particle acceleration
Particle accelerator
Particle aggregation
Particle astrophysics
Particle beam
Particle counter
Particle decay
Particle detector
Particle displacement
Particle experiments at Kolar Gold Fields
Particle horizon
Particle identification
Particle image velocimetry
Particle in a box
Particle in a one-dimensional lattice
Particle in a ring
Particle in a spherically symmetric potential
Particle number
Particle number operator
Particle physics
Particle physics and representation theory
Particle physics in cosmology
Particle radiation
Particle segregation
Particle shower
Particle size
Particle size (general)
Particle statistics
Particle tracking velocimetry
Particle velocity
Particle velocity level
Particle zoo
Particulates
Partition function (quantum field theory)
Partition function (statistical mechanics)
Parton (particle physics)
Parton distribution function
Parvez Butt
Parviz Moin
Pascal's barrel
Pascal's law
Pascal (unit)
Paschen's law
Paschen series
Paschen–Back effect
Pascual Jordan
Pasotron
Passive Underwater Fire Control Feasibility System
Passive radiator
Patch dynamics (physics)
Path-ordering
Path integral Monte Carlo
Path integral formulation
Path integral molecular dynamics
Pati–Salam model
Patricia Lewis (physicist)
|Patrick Blackett, Baron Blackett|
Patrick N. Keating
Patrick Tabeling
Patrick d'Arcy
Patterson function
Paul-Quentin Desains
Paul A. Fleury
Paul Alfred Biefeld
Paul Auguste Ernest Laugier
Paul Callaghan
Paul Chaikin
Paul Chun (professor)
Paul Corkum
Paul Davies
Paul Dirac
Paul Drude
Paul E. Klopsteg
Paul Ehrenfest
Paul Erman
Paul Fillunger
Paul Flory
Paul Frampton
Paul G. Hewitt
Paul G. Richards
Paul Garabedian
Paul Gerber
Paul Ginsparg
Paul Halpern
Paul Harteck
Paul Horowitz
Paul John Ellis
Paul Kunz
Paul Langevin
Paul Lauterbur
Paul M. Doty
Paul Mackenzie
Paul McEuen
Paul Moskowitz
Paul Nemenyi
Paul O. Müller
Paul Painlevé
Paul Palmer (physicist)
Paul Peter Ewald
Paul Richard Heinrich Blasius
Paul Rudolph (physicist)
Paul Scherrer
Paul Scherrer Institute
Paul Sophus Epstein
Paul Steinhardt
Paul Suni
Paul Taunton Matthews
Paul Townsend
Paul Ulrich Villard
Paul Weiss (nanoscientist)
Pauli equation
Pauli exclusion principle
Pauli group
Pauli matrices
Pauline Morrow Austin
Pauli–Villars regularization
Pavel Cherenkov
Pavel Jelínek
Pavel Petrovich Parenago
Pavle Savić
Pawsey Medal
Payload for Antimatter Matter Exploration and Light-nuclei Astrophysics
Peak expiratory flow
Peak kilovoltage
Peak signal-to-noise ratio
Peakon
Pearl vortex
Peccei–Quinn theory
Peculiar motion
Peculiar velocity
Peder Oluf Pedersen
Pedro Paulet
Peierls bracket
Peixoto's theorem
Pelindaba
Pelletron
Pencil (optics)
Pendulum
Pendulum day
Pendulum rocket fallacy
Peng Huanwu
Penguin diagram
Penning mixture
Penning trap
Penrose criterion
Penrose diagram
Penrose graphical notation
Penrose interpretation
Penrose process
Penrose transform
Penrose–Hawking singularity theorems
Pentamirror
Pentaprism
Pentaquark
Per-Olov Löwdin
Per Arne Rikvold
Per Bak
Per Carlqvist
Percentage of the speed of light
Percolation
Percolation critical exponents
Percolation theory
Percolation threshold
Percus–Yevick approximation
Percy Williams Bridgman
Peregrine soliton
Perfect Cosmological Principle
Perfect conductor
Perfect fluid
Perfect gas
Perfect lens
Perfect mirror
Perfectly Reasonable Deviations from the Beaten Track
Perhapsatron
Perifocal coordinate system
Perigean spring tide
Perimeter Institute for Theoretical Physics
Period-doubling bifurcation
Period 9 element
Periodic poling
Periodic table
Periodicity (metamaterials)
Periodogram
Perley Ason Ross
Perley G. Nutting
Perlin noise
Permeability (electromagnetism)
Permeability constant
Permeameter
Permeance
Permeation
Permittivity
Perovskite (structure)
Perpendicular axis theorem
Perpetual motion
Perpetual motion machine
Perrin friction factors
Persis Drell
Persistence length
Person-rem/year
Perturbation theory
Perturbation theory (quantum mechanics)
Perturbative QCD
Perveance
Pervez Hoodbhoy
Peskin–Takeuchi parameter
Peter A. Sturrock
Peter A. Wolff
Peter Armbruster
Peter B. Lyons
Peter Barham
Peter Bergmann
Peter C. Aichelburg
Peter Coles
Peter Collinson (botanist)
Peter Coveney
Peter D. Jarvis
Peter Debye
Peter Demos
Peter Dollond
Peter Edwards (chemist)
Peter Fowler (physicist)
Peter Franken
Peter Freund
Peter Galison
Peter Goddard (physicist)
Peter Goldreich
Peter Grünberg
Peter Guthrie Tait
Peter Haynes (mathematician)
Peter Herbert Jensen
Peter Heszler
Peter Higgs
Peter Hirsch
Peter Huybers
Peter Hänggi
Peter Knight (scientist)
Peter Kramer (physicist)
Peter Lax
Peter Littlewood
Peter Lu
Peter Mansfield
Peter Mazur
Peter Pershan
Peter Smith (scientist)
Peter Stilbs
Peter Thejll
Peter V. E. McClintock
Peter Wadhams
Peter Westervelt
Peter Woit
Peter Zimmerman
Peter Zoller
Peter van Nieuwenhuizen
Petr Beckmann
Petr Hořava (theorist)
Petr Paucek
Petr Vaníček
Petrophysics
Petrov classification
Petrus Peregrinus de Maricourt
Petzval field curvature
Pfeiffer Effect
Pfund series
Phantom energy
Phase-coherent holography
Phase-contrast imaging
Phase (matter)
Phase (waves)
Phase Noise
Phase compensation
Phase contrast microscope
Phase contrast microscopy
Phase distortion
Phase factor
Phase noise
Phase offset modulation
Phase plane
Phase portrait
Phase problem
Phase retrieval
Phase space
Phase space formulation
Phase switch
Phase transition
Phase velocities
Phase velocity
Phased-array optics
Phased array
Phased array ultrasonics
Phenomenology (particle physics)
Phi meson
Phil Williams (Welsh politician)
Philip Abelson
Philip Beckley
Philip Burton Moon
Philip Dee
Philip J. Dolan
Philip J. Morrison
Philip L. Roe
Philip M. Morse
Philip Morrison
Philip Russell (physicist)
Philip Saffman
Philip Warren Anderson
Philipp Carl
Philipp Lenard
Philipp von Jolly
Philippe Guyot-Sionnest
Philippe Nozières
Philippine Nuclear Research Institute
Philo of Byzantium
Philolaus
Philosophical Magazine
Philosophical Transactions of the Royal Society A
Philosophical interpretation of classical physics
Philosophiæ Naturalis Principia Mathematica
Philosophy of physics
Philosophy of space and time
Philosophy of thermal and statistical physics
Phobos (experiment)
Phon
Phonomotor
Phonon
Phonon drag
Phonon noise
Phononic crystal
Phosphor
Phosphor thermometry
Phosphorescence
Phosphoroscope
Phoswich detector
Phot
Phot. Nano. Fund. Appl.
Phot Nano Fund Appl
Photo-Carnot engine
Photo-Dember
Photobleaching
Photocatalytic water splitting
Photochromic lens
Photoconduction
Photoconductive atomic force microscopy
Photoconductivity
Photodetector
Photodisintegration
Photodissociation
Photoelastic modulator
Photoelasticity
Photoelectric effect
Photoelectric efficiency
Photoelectric sensor
Photoelectrochemical processes
Photoemission spectroscopy
Photoexcitation
Photofission
Photographic lens design
Photographic magnitude
Photographic plate
Photoinduced charge separation
Photoinduced phase transitions
Photoionisation
Photoionisation cross section
Photolithography
Photoluminescence
Photomagnetic effect
Photomagnetism
Photomagneton
Photometer
Photometric redshift
Photometry (optics)
Photomixing
Photomultiplier
Photon
Photon-in-photon-out
Photon-intermediate direct energy conversion
Photon Doppler velocimetry
Photon Factory
Photon diffusion
Photon entanglement
Photon epoch
Photon gas
Photon induced electric field poling
Photon noise
Photon polarization
Photon sphere
Photonic-crystal fiber
Photonic crystal
Photonic integrated circuit
Photonic metamaterial
Photonics
Photonics Letters of Poland
Photonics Society of Poland
Photonics and Nanostructures
Photonics and Nanostructures: Fundamentals and Applications
Photophoresis
Photorefractive effect
Photoresist
Photosensitive glass
Photosensitizer
Photothermal effect
Photothermal optical microscopy
Photothermal spectroscopy
Photovoltaic effect
Photovoltaics
Phugoid
Phun
Phyllis S. Freier
Phys.Org
Physica (journal)
Physica A
Physica B
Physica C
Physica D
Physica E
Physica Scripta
Physica Status Solidi
Physica Status Solidi A
Physica Status Solidi B
Physica Status Solidi C
Physica Status Solidi RRL
Physical Biology
Physical Chemistry Chemical Physics
Physical Review
Physical Review A
Physical Review A: General Physics
Physical Review E
Physical Review Focus
Physical Review Letters
Physical Science Study Committee
Physical Society of Japan
Physical Society of London
Physical acoustics
Physical body
Physical constant
Physical cosmology
Physical geodesy
Physical information
Physical law
Physical objects
Physical optics
Physical paradox
Physical phenomenon
Physical property
Physical quantity
|Physical review. E, Statistical physics, plasmas, fluids, and related interdisciplinary topics|
Physical strength
Physical substance
Physical system
Physical theories modified by general relativity
Physicist
Physicist and Christian
Physics
PhysicsWeb
Physics (American Physical Society journal)
Physics Abstracts
Physics Abstracts.
Physics Abstracts. Science Abstracts. Series A
Physics Abstracts - Series A
Physics Abstracts - Series A: Science Abstracts
Physics Abstracts Series A
Physics Analysis Workstation
Physics Education
Physics Letters
Physics Letters A
Physics Letters B
Physics Reports
Physics Today
Physics abstracts series A
Physics and Astronomy Classification Scheme
Physics and Chemistry of Liquids
Physics and Chemistry of Minerals
Physics and Star Trek
Physics and engineering explorations
Physics beyond the Standard Model
Physics education
Physics envy
Physics equations
Physics in Medicine and Biology
Physics in medieval Islam
Physics of Fluids
Physics of Life Reviews
Physics of Plasmas
Physics of computation
Physics of firearms
Physics of glass
Physics of skiing
Physics of the Impossible
Physics of the Solid State
Physics today
Physikalisch-Technische Bundesanstalt
Physikalische Blätter
Physikalische Zeitschrift
Pi Josephson junction
Piara Singh Gill
Picard horn
Picarin
Picotechnology
Picture (string theory)
Piermaria Oddone
Piero Giorgio Bordoni
Pierre-Gilles de Gennes
Pierre-Michel Duffieux
Pierre-Simon Laplace
Pierre Aigrain
Pierre Angénieux
Pierre Auger Observatory
Pierre Bertholon de Saint-Lazare
Pierre Bouguer
Pierre Curie
Pierre Goldschmidt
Pierre Henri Hugoniot
Pierre Hohenberg
Pierre Louis Dulong
Pierre Louis Maupertuis
Pierre Perrault (scientist)
Pierre Polinière
Pierre Prévost
Pierre Ramond
Pierre Victor Auger
Pierre Weiss
Pierson–Moskowitz spectrum
Pieter Kok
Pieter Rijke
Pieter Zeeman
Pieter van Musschenbroek
Piezoelectric coefficient
Piezoelectricity
Piezoresistive effect
Piezoresponse force microscopy
Pilot wave
Pin group
Pinch (magnetic fusion)
Pinch (plasma physics)
Pincushion distortion
Pink noise
Pinning force
Piola-Kirchhoff stress tensor
Pion
Pion decay constant
Pioneer anomaly
Pionium
Pipe flow
Pipe network analysis
Pis'ma v Astronomicheskii Zhurnal
Piston (optics)
Pit (nuclear weapon)
Pitch-up
Pitch drop experiment
Pitching moment
Pitot tube
Piyare Jain
Planar array radar
Planar laser-induced fluorescence
Planck's law
Planck (spacecraft)
Planck angular frequency
Planck charge
Planck constant
Planck current
Planck density
Planck energy
Planck epoch
Planck force
Planck impedance
Planck length
Planck mass
Planck matter
Planck momentum
Planck particle
Planck postulate
Planck power
Planck pressure
Planck radiation
Planck scale
Planck temperature
Planck time
Planck units
Planck voltage
Plane mirror
Plane of incidence
Plane of reference
Plane wave expansion method
PlanetPhysics
Planetarium hypothesis
Planetary and Space Science
Planetary nebula
Planetary nebula luminosity function
Planets beyond Neptune
Plasma (physics)
Plasma Physics Laboratory (Saskatchewan)
Plasma Science Society of India
Plasma Sources Science and Technology
Plasma acceleration
Plasma channel
Plasma cleaning
Plasma containment
Plasma cosmology
Plasma diagnostics
Plasma facing material
Plasma fountain
Plasma gasification
Plasma globe
Plasma lamp
Plasma modeling
Plasma oscillation
Plasma parameter
Plasma parameters
Plasma propulsion engine
Plasma recombination
Plasma scaling
Plasma source
Plasma speaker
Plasma stability
Plasma stealth
Plasma torch
Plasma weapon
Plasma window
Plasmaron
Plasmasphere
Plasmat lens
Plasmoid
Plasmon
Plasmonic cover
Plasmonic metamaterials
Plasmonic solar cell
Plastic-clad silica fiber
Plastic Fantastic: How the Biggest Fraud in Physics Shook the Scientific World
Plastic bending
Plastic deformation in solids
Plastic magnet
Plastic moment
Plasticity (physics)
Plastometer
Plate tectonics
Plateau–Rayleigh instability
Platinum Metals Review
Plato
Platteville Atmospheric Observatory
Plebanski action
Plekton
Pleuger rudder
Plug flow
Plum pudding model
Plume (hydrodynamics)
Plummer model
Plus minus method
Plutonium
Plutonium(IV) oxide
Plutonium-238
Plutonium-239
Pneumatic barrier
Pneumatic circuit
Pneumatic cylinder
Pneumatic flow control
Pneumatic motor
Pockels effect
Pohlmeyer charge
Poincaré Seminar
Poincaré Seminars
Poincaré group
Poincaré map
Poincaré recurrence theorem
Poincaré–Bendixson theorem
Poincaré–Lindstedt method
Poinsot's ellipsoid
Point charge
Point mass
Point particle
Point source
Point source (light)
Point spread function
Poise
Poisson's equation
Poisson's ratio
Poisson bracket
Poisson–Boltzmann equation
Pol Duwez
Pol Swings
Polar cyclone
Polar mesosphere summer echoes
Polar moment of inertia
Polar orbit
Polar vortex
Polar wander
Polar wind
Polarimetry
Polariton
Polariton superfluid
Polarity (disambiguation)
Polarizability
Polarizable vacuum
Polarization-division multiplexing
Polarization (waves)
Polarization density
Polarization in astronomy
Polarization mode dispersion
Polarization spectroscopy
Polarized target
Polarizer
Polaroid (polarizer)
Polaron
Polhode
Polyakov action
Polyamorphism
Polychromatic
Polychromator
Polykarp Kusch
Polymer Bulletin
Polymer physics
Polymer science
Polymer solar cell
Polymeric liquid crystal
Polyphase coil
Polyphase system
Polytrope
Polytropic process
Polywater
Polywell
Pomeranchuk Prize
Pomeron
Ponderomotive energy
Ponderomotive force
Pons-Fleischmann experiment
Pontecorvo–Maki–Nakagawa–Sakata matrix
Poole–Frenkel effect
Pople notation
Population I Cepheid
Population I Cepheids
Population inversion
Poromechanics
Pororoca
Portevin–Le Chatelier effect
Posidonius
Position and momentum space
Position operator
Position space
Positive displacement meter
Positive energy theorem
Positive pressure
Positron
Positron emission
Positron emission tomography
Positronium
Positronium hydride
Post-Hartree–Fock
Post-Newtonian expansion
Post Office Box (electricity)
Postulates of special relativity
Potassium titanyl phosphate
Potential
Potential difference
Potential energy
Potential energy surface
Potential flow
Potential gradient
Potential temperature
Potential theory
Potential vorticity
Potential well
Potentiometric surface
Potsdam Denkschrift
Potts model
Poul la Cour
Pound–Rebka experiment
Powder-in-tube
Powder diffraction
Power-law fluid
Power-law index profile
Power-to-weight ratio
Power (physics)
Power density
Power history
Power number
Power optimizer
Powered hang glider
Poynting's theorem
Poynting vector
Pp-wave spacetime
Prabhakar Misra
Prabhu Lal Bhatnagar
Pran Nath
Prandtl-Glauert method
Prandtl number
Prandtl–Glauert singularity
Prandtl–Glauert transformation
Prandtl–Meyer expansion fan
Prandtl–Meyer function
Praveen Chaudhari
Pre-echo
Pre-main-sequence star
Precession
Precision Array for Probing the Epoch of Reionization
Precision tests of QED
Predhiman Krishan Kaw
Predictability
Predrag Cvitanović
Preferential concentration
Preferred frame
Pregeometry (physics)
Premelting
Preon
Preon star
Present
Presentism (philosophy of time)
Pressure
Pressure-correction method
Pressure-fed engine (rocket)
Pressure-gradient force
Pressure-sensitive paint
Pressure coefficient
Pressure drop
Pressure exchanger
Pressure experiment
Pressure head
Pressure measurement
